#index type state x1 y1 x2 y2 bleached_x1 bleached_x2 
#t=34
0 4 2 0.992479 0.18659 1.21161 0.167018 -1 -1
1 4 4 0.596176 0.847172 1.42659 0.720602 -1 -1
2 4 4 0.196766 2.12491 0.531361 2.064 -1 -1
3 4 2 0.185023 0.448103 1.19034 0.620567 -1 -1
4 3 2 0.819559 4.24481 1.34002 4.23645 -1 -1
5 4 2 0.805599 2.84693 1.32875 2.98075 -1 -1
6 4 4 0.204674 0.406323 1.07084 0.650781 -1 -1
7 4 4 0.143439 0.101094 0.663352 0.110621 -1 -1
8 3 4 0.883194 3.1351 0.981596 3.1173 -1 -1
9 3 3 0.477449 1.48728 0.804258 1.57433 -1 -1
10 4 1 1.13968 2.99611 1.13968 2.99611 -1 -1
11 3 4 0.185043 3.5392 1.00106 3.61988 -1 -1
12 3 2 0.302755 1.52648 1.21602 1.21545 -1 -1
13 4 1 1.31688 3.06802 1.31688 3.06793 -1 -1
14 4 4 0.217385 1.12626 1.499 1.30725 -1 -1
15 4 1 1.5 1.60187 1.5 1.6005 -1 -1
16 4 3 0.137032 4.26778 0.427196 4.32849 -1 -1
17 4 2 0.612774 3.46087 1.11418 3.32307 -1 -1
18 4 2 0.675981 1.25602 1.44276 1.39902 -1 -1
19 3 5 0.152531 0.251343 0.87799 0 -1 -1
20 4 4 0.369666 0.560576 0.549011 0.545231 -1 -1
21 4 4 0.201512 2.81537 0.379593 2.84159 -1 -1
22 4 3 0.23993 1.32332 0.549047 1.33078 -1 -1
23 4 4 0.186411 3.99206 0.497424 4.06737 -1 -1
24 4 2 0.430408 0.679416 1.21271 0.846776 -1 -1
25 3 4 0.193392 3.71468 0.505112 3.6442 -1 -1
26 4 4 0.262038 0.0887919 0.401388 0.0753182 -1 -1
27 4 1 0.273232 3.38728 0.273232 3.38339 -1 -1
28 3 2 0.740222 3.57912 1.12266 3.4619 -1 -1
29 4 4 1.03314 0.341317 1.499 0.395085 -1 -1
30 4 2 2.08167e-17 1.76478 1.40979 1.75301 -1 -1
31 4 1 1.26269 0.225257 1.26269 0.225257 -1 -1
32 4 4 0.01999 3.56112 1.44977 3.51589 -1 -1
33 3 2 0.10554 1.27351 1.3806 1.38584 -1 -1
34 4 4 0.305061 0.76346 1.45503 0.399197 -1 -1
35 4 2 1.05899 3.05253 1.09795 3.0616 -1 -1
36 4 1 0.515439 0.335564 0.515439 0.335669 -1 -1
37 4 4 0.74485 2.01865 1.29425 1.83273 -1 -1
38 4 1 1.1915 1.49667 1.1915 1.49667 -1 -1
39 3 2 0.797172 0.17498 1.19675 0.193427 -1 -1
40 4 2 0.0838245 3.21236 1.2804 2.88708 -1 -1
41 4 2 0.732016 2.67835 1.34994 2.62766 -1 -1
42 4 4 0.593172 1.72843 0.71154 1.7087 -1 -1
