#t luminosity empty mature growing shrinking pause gro gri tm tota_L average_L
0 14.834 108 2 152 97 129 133 367 0 202.025 0.515371
2 14.688 108 3 142 100 128 133 367 0 201.523 0.514091
4 14.696 105 4 150 95 127 133 367 0 203.1 0.514178
6 14.546 104 7 143 102 125 133 367 0 202.527 0.511431
8 14.468 106 6 146 105 126 133 367 0 201.756 0.512071
10 14.452 107 6 150 94 127 133 367 0 201.219 0.512009
12 14.504 111 7 144 96 125 133 367 0 202.018 0.519326
14 14.632 108 7 157 91 126 133 367 0 203.451 0.519007
16 14.962 118 7 163 80 124 133 367 0 207.334 0.54276
18 15.264 116 6 170 75 124 133 367 0 210.56 0.548335
20 15.524 110 6 170 77 125 133 367 0 216.061 0.554004
22 15.654 108 8 165 86 123 133 367 0 220.375 0.562182
24 15.758 101 9 148 100 126 133 367 0 223.024 0.558956
26 15.686 91 7 137 119 131 133 367 0 220.97 0.540268
28 15.54 96 6 132 116 133 133 367 0 219.292 0.542801
30 15.36 101 6 138 114 129 133 367 0 217.291 0.544589
32 15.172 105 5 132 113 132 133 367 0 214.034 0.541858
34 15.026 99 5 153 100 131 133 367 0 211.46 0.527331
36 14.94 101 4 157 99 130 133 367 0 210.463 0.527476
38 14.876 94 4 155 96 135 133 367 0 211.965 0.522081
40 14.882 92 4 148 96 138 133 367 0 213.547 0.523401
42 14.976 93 4 150 103 139 133 367 0 213.856 0.525444
44 15.106 89 4 160 100 138 133 367 0 215.185 0.523564
46 15.116 90 4 159 100 139 133 367 0 215.024 0.524448
48 15.176 93 3 157 95 141 133 367 0 216.702 0.532436
50 0 99 3 143 100 141 133 367 0 218.922 0.545941
52 0.842 95 3 145 109 138 133 367 0 218.739 0.540097
